ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12691574,JF232360,05/06/2022 12:50:00 PM,049XX S ARCHER AVE,0460,BATTERY,SIMPLE,SCHOOL - PRIVATE GROUNDS,false,false,0821,008,14,57,08B,1150934,1871470,2022,11/12/2022 03:46:21 PM,41.803201891,-87.72198373,"(41.803201891, -87.72198373)"
12854556,JF428827,10/10/2022 04:00:00 AM,055XX S KOSTNER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0813,008,13,62,07,1147972,1867561,2022,11/12/2022 03:46:21 PM,41.792532291,-87.732947055,"(41.792532291, -87.732947055)"
12629483,JF158562,02/12/2022 05:00:00 PM,064XX S TALMAN AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0825,008,16,66,06,1159815,1861911,2022,11/12/2022 03:46:21 PM,41.776792742,-87.689675138,"(41.776792742, -87.689675138)"
12837751,JF408515,09/24/2022 05:37:00 AM,053XX S PULASKI RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL / MOTEL,false,true,0815,008,23,62,08B,1150606,1868988,2022,11/12/2022 03:46:21 PM,41.79639731,-87.723251281,"(41.79639731, -87.723251281)"
12581945,JF100214,01/01/2022 04:26:00 AM,083XX S PULASKI RD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,0834,008,18,70,04A,1151178,1849151,2022,11/12/2022 03:46:21 PM,41.741950206,-87.721671014,"(41.741950206, -87.721671014)"
12582101,JF100418,01/01/2022 09:15:00 AM,039XX W 47TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0821,008,14,57,08B,1151020,1873181,2022,11/12/2022 03:46:21 PM,41.807895444,-87.721623663,"(41.807895444, -87.721623663)"
12582099,JF100368,01/01/2022 02:30:00 AM,050XX S LEAMINGTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0814,008,22,56,14,1142878,1870767,2022,11/12/2022 03:46:21 PM,41.801426185,-87.751546797,"(41.801426185, -87.751546797)"
12855569,JF429979,10/10/2022 08:00:00 AM,057XX S CICERO AVE,0810,THEFT,OVER $500,AIRCRAFT,false,false,0813,008,23,56,06,1145654,1866253,2022,11/12/2022 03:46:21 PM,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
12855663,JF430208,09/15/2022 05:00:00 PM,057XX S CICERO AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,AIRPORT TRANSPORTATION SYSTEM (ATS),false,false,0813,008,23,56,11,1145654,1866253,2022,11/12/2022 03:46:21 PM,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
12855667,JF430151,01/23/2022 12:00:00 AM,043XX W 47TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,false,false,0815,008,14,57,11,1148368,1873118,2022,11/12/2022 03:46:21 PM,41.807773948,-87.731352252,"(41.807773948, -87.731352252)"
12855737,JF430246,10/11/2022 10:00:00 AM,063XX S ARTESIAN AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0825,008,16,66,08A,1161130,1862526,2022,11/12/2022 03:46:21 PM,41.778453277,-87.684837367,"(41.778453277, -87.684837367)"
12855876,JF430449,10/11/2022 01:45:00 PM,059XX S CALIFORNIA AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE - GARAGE,true,false,0824,008,16,66,26,1158726,1865193,2022,11/12/2022 03:46:21 PM,41.785821313,-87.693577884,"(41.785821313, -87.693577884)"
12582266,JF100509,01/01/2022 03:00:00 AM,081XX S SPAULDING AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0834,008,18,70,14,1155798,1850488,2022,11/12/2022 03:46:21 PM,41.745527796,-87.704707461,"(41.745527796, -87.704707461)"
12838467,JF409652,09/25/2022 04:00:00 AM,060XX S ARCHER AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,false,false,0811,008,14,56,04A,1138704,1868404,2022,11/12/2022 03:46:21 PM,41.795018216,-87.766911797,"(41.795018216, -87.766911797)"
12582288,JF100587,01/01/2022 12:42:00 PM,057XX S CICERO AVE,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,AIRPORT PARKING LOT,false,false,0813,008,13,56,11,1145654,1866253,2022,11/12/2022 03:46:21 PM,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
12582387,JF100689,01/01/2022 01:00:00 AM,055XX S ST LOUIS AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0822,008,14,63,14,1153986,1867709,2022,11/12/2022 03:46:21 PM,41.792821055,-87.71089037,"(41.792821055, -87.71089037)"
12582382,JF100750,01/01/2022 01:48:00 AM,050XX S RIDGEWAY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,false,false,0821,008,14,62,14,1152218,1871097,2022,11/12/2022 03:46:21 PM,41.802153167,-87.717284448,"(41.802153167, -87.717284448)"
12811870,JF377657,08/17/2022 10:00:00 AM,067XX S KEATING AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0833,008,13,65,06,1146002,1859606,2022,11/12/2022 03:46:21 PM,41.770739979,-87.740372036,"(41.770739979, -87.740372036)"
12857107,JF432127,09/20/2022 12:00:00 AM,070XX S ARTESIAN AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,0832,008,17,66,10,1161258,1857916,2022,11/12/2022 03:46:21 PM,41.765800136,-87.684495611,"(41.765800136, -87.684495611)"
12857110,JF432035,10/12/2022 02:30:00 PM,038XX W 77TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0833,008,18,70,14,1151783,1853122,2022,11/12/2022 03:46:21 PM,41.752835489,-87.719350458,"(41.752835489, -87.719350458)"
12857119,JF432005,10/10/2022 11:00:00 AM,066XX S FAIRFIELD AVE,031A,ROBBERY,ARMED - HANDGUN,ALLEY,false,false,0831,008,17,66,03,1159189,1860454,2022,11/12/2022 03:46:21 PM,41.772807358,-87.692009879,"(41.772807358, -87.692009879)"
12838788,JF409889,09/24/2022 10:40:00 PM,060XX S ARCHER AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0811,008,14,56,05,1138406,1868341,2022,11/12/2022 03:46:21 PM,41.794850716,-87.768006106,"(41.794850716, -87.768006106)"
12857290,JF430899,10/11/2022 04:05:00 PM,069XX S WESTERN AVE,0555,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,CTA BUS,false,false,0832,008,17,66,04A,1161571,1858676,2022,11/12/2022 03:46:21 PM,41.7678792,-87.683327303,"(41.7678792, -87.683327303)"
12582791,JF101176,01/01/2022 05:00:00 PM,056XX S ARTESIAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0824,008,15,63,06,1160994,1867077,2022,11/12/2022 03:46:21 PM,41.790944652,-87.68521019,"(41.790944652, -87.68521019)"
12634869,JF164991,03/05/2022 04:57:00 AM,056XX S SACRAMENTO AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0824,008,16,63,06,1157338,1867156,2022,11/12/2022 03:46:21 PM,41.791236289,-87.698613862,"(41.791236289, -87.698613862)"
12839217,JF409457,09/21/2022 04:00:00 PM,057XX S CICERO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,AIRPORT PARKING LOT,false,false,0813,008,23,56,07,1145654,1866253,2022,11/12/2022 03:46:21 PM,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
12857891,JF432877,10/13/2022 12:00:00 AM,051XX S NATOMA AVE,0810,THEFT,OVER $500,STREET,false,false,0811,008,14,56,06,1132917,1869727,2022,11/12/2022 03:46:21 PM,41.798751443,-87.788102461,"(41.798751443, -87.788102461)"
12635217,JF165113,03/03/2022 12:26:00 PM,044XX S PULASKI RD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,false,false,0821,008,14,57,06,1150424,1874895,2022,11/12/2022 03:46:21 PM,41.812610526,-87.723765071,"(41.812610526, -87.723765071)"
12858053,JF432783,10/07/2022 12:00:00 AM,068XX S KEDVALE AVE,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,false,false,0833,008,13,65,17,1149883,1858876,2022,11/12/2022 03:46:21 PM,41.768662433,-87.726164458,"(41.768662433, -87.726164458)"
