ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
7005377,HR412618,07/05/2009 04:30:00 PM,007XX W 31ST ST,2024,NARCOTICS,POSS: HEROIN(WHITE),DRUG STORE,true,false,0924,11,18,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
10082880,HY271072,05/22/2015 02:00:00 PM,007XX W 31ST ST,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0915,11,06,1171922,1884333,2015,02/10/2018 03:50:01 PM,41.838063763,-87.644632641,"(41.838063763, -87.644632641)"
7051523,HR457396,07/30/2009 08:10:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0924,11,06,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7301640,HS105457,01/05/2010 04:10:00 AM,007XX W 31ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESTAURANT,true,false,0924,11,18,1171668,1884327,2010,02/10/2018 03:50:01 PM,41.838052883,-87.645564858,"(41.838052883, -87.645564858)"
7306050,HS110004,01/07/2010 09:35:00 PM,007XX W 31ST ST,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESTAURANT,true,false,0924,11,08A,1172053,1884337,2010,02/10/2018 03:50:01 PM,41.838071856,-87.644151826,"(41.838071856, -87.644151826)"
7162848,HR572745,10/05/2009 05:30:00 PM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0923,11,08A,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7167746,HR577294,10/08/2009 11:30:00 AM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,true,false,0924,11,26,1171697,1884328,2009,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7172301,HR582879,10/11/2009 06:30:00 PM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,0924,11,26,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7180767,HR591218,10/16/2009 02:45:00 PM,007XX W 31ST ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,DRUG STORE,false,false,0924,11,04A,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7190641,HR602254,10/22/2009 03:42:00 PM,007XX W 31ST ST,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,ALLEY,true,false,0923,11,26,1171653,1884327,2009,02/10/2018 03:50:01 PM,41.838053213,-87.645619899,"(41.838053213, -87.645619899)"
7194274,HR606943,10/25/2009 09:35:00 AM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,0924,11,26,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7199352,HR612636,10/18/2009 12:00:00 AM,007XX W 31ST ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0923,11,06,1171673,1884328,2009,02/28/2018 03:56:25 PM,41.838055518,-87.645546481,"(41.838055518, -87.645546481)"
7203483,HR617080,10/30/2009 05:20:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,0924,11,06,1171697,1884328,2009,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7216501,HR632080,11/08/2009 12:27:00 AM,007XX W 31ST ST,2022,NARCOTICS,POSS: COCAINE,PARKING LOT/GARAGE(NON.RESID.),true,false,0924,11,18,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7234306,HR649021,11/18/2009 11:30:00 AM,007XX W 31ST ST,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,0924,11,18,1171716,1884329,2009,02/28/2018 03:56:25 PM,41.838057317,-87.645388665,"(41.838057317, -87.645388665)"
7238745,HR653268,11/20/2009 08:25:00 PM,007XX W 31ST ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0924,11,06,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7267590,HR681692,12/09/2009 04:45:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0924,11,06,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7274007,HR689146,12/14/2009 02:45:00 PM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,true,0924,11,08A,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7274100,HR689284,12/14/2009 03:35:00 PM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,OTHER,false,false,0924,11,08A,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7279075,HR694327,12/17/2009 07:15:00 PM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,true,false,0924,11,26,1171697,1884328,2009,02/28/2018 03:56:25 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7347223,HS149041,02/03/2010 08:30:00 AM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,true,false,0924,11,26,1171658,1884327,2010,02/10/2018 03:50:01 PM,41.838053103,-87.645601552,"(41.838053103, -87.645601552)"
7348364,HS150062,02/03/2010 07:35:00 PM,007XX W 31ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0924,11,18,1171687,1884328,2010,02/10/2018 03:50:01 PM,41.83805521,-87.645495109,"(41.83805521, -87.645495109)"
7352114,HS153585,02/06/2010 07:00:00 AM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,true,false,0924,11,26,1171658,1884327,2010,02/10/2018 03:50:01 PM,41.838053103,-87.645601552,"(41.838053103, -87.645601552)"
7362725,HS165128,02/14/2010 04:20:00 PM,007XX W 31ST ST,3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,STREET,true,false,0924,11,24,1171673,1884328,2010,02/10/2018 03:50:01 PM,41.838055518,-87.645546481,"(41.838055518, -87.645546481)"
7363533,HS166179,02/15/2010 02:55:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0924,11,06,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7368894,HS171418,02/19/2010 02:05:00 AM,007XX W 31ST ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESTAURANT,true,false,0924,11,24,1171668,1884327,2010,02/10/2018 03:50:01 PM,41.838052883,-87.645564858,"(41.838052883, -87.645564858)"
7378171,HS180060,02/25/2010 02:00:00 AM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,false,false,0924,11,06,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7383996,HS185946,03/01/2010 09:30:00 AM,007XX W 31ST ST,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,true,false,0924,11,26,1171663,1884327,2010,02/10/2018 03:50:01 PM,41.838052993,-87.645583205,"(41.838052993, -87.645583205)"
7390225,HS192307,03/05/2010 12:00:00 AM,007XX W 31ST ST,0810,THEFT,OVER $500,STREET,false,false,0924,11,06,1171993,1884335,2010,02/10/2018 03:50:01 PM,41.838067689,-87.644372052,"(41.838067689, -87.644372052)"
7402563,HS172186,02/19/2010 02:46:00 PM,007XX W 31ST ST,2210,LIQUOR LAW VIOLATION,SELL/GIVE/DEL LIQUOR TO MINOR,DRUG STORE,true,false,0924,11,22,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7404320,HS206785,03/14/2010 01:40:00 AM,007XX W 31ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,true,false,0924,11,14,1171678,1884328,2010,02/10/2018 03:50:01 PM,41.838055408,-87.645528134,"(41.838055408, -87.645528134)"
7406972,HS208893,03/15/2010 02:35:00 AM,007XX W 31ST ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,11,06,1171922,1884333,2010,02/10/2018 03:50:01 PM,41.838063763,-87.644632641,"(41.838063763, -87.644632641)"
7407550,HS209572,03/15/2010 10:30:00 PM,007XX W 31ST ST,0560,ASSAULT,SIMPLE,DRUG STORE,false,false,0924,11,08A,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
11741702,JC329493,07/01/2019 12:31:00 AM,007XX W 31ST ST,041A,BATTERY,AGGRAVATED: HANDGUN,GAS STATION,true,false,0915,11,04B,1172053,1884337,2019,10/04/2019 03:59:59 PM,41.838071856,-87.644151826,"(41.838071856, -87.644151826)"
7455072,HS254832,04/13/2010 03:50:00 AM,007XX W 31ST ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0924,11,06,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7463676,HS266150,04/19/2010 09:35:00 PM,007XX W 31ST ST,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,0924,11,18,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7470225,HS270209,04/22/2010 12:45:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,0924,11,06,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
7307263,HS111138,01/08/2010 04:40:00 PM,007XX W 31ST ST,0860,THEFT,RETAIL THEFT,DRUG STORE,true,false,0924,11,06,1171697,1884328,2010,02/10/2018 03:50:01 PM,41.83805499,-87.645458414,"(41.83805499, -87.645458414)"
